Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.09     0.00     2440     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Useraction*>(Useraction*, Useraction*)
  0.00      0.09     0.00     2440     0.00     0.00  std::_Vector_base<Useraction, std::allocator<Useraction> >::_M_deallocate(Useraction*, unsigned long)
  0.00      0.09     0.00     2440     0.00     0.00  void std::_Destroy<Useraction*>(Useraction*, Useraction*)
  0.00      0.09     0.00     2440     0.00     0.00  void std::_Destroy<Useraction*, Useraction>(Useraction*, Useraction*, std::allocator<Useraction>&)
  0.00      0.09     0.00     2432     0.00     0.00  __gnu_cxx::new_allocator<Node*>::allocate(unsigned long, void const*)
  0.00      0.09     0.00     2432     0.00     0.00  std::allocator_traits<std::allocator<Node*> >::allocate(std::allocator<Node*>&, unsigned long)
  0.00      0.09     0.00     1836     0.00     0.00  __gnu_cxx::new_allocator<Node*>::deallocate(Node**, unsigned long)
  0.00      0.09     0.00     1836     0.00     0.00  std::allocator_traits<std::allocator<Node*> >::deallocate(std::allocator<Node*>&, Node**, unsigned long)
  0.00      0.09     0.00     1799     0.00     0.00  __gnu_cxx::new_allocator<Useraction>::deallocate(Useraction*, unsigned long)
  0.00      0.09     0.00     1799     0.00     0.00  __gnu_cxx::new_allocator<Useraction>::allocate(unsigned long, void const*)
  0.00      0.09     0.00     1799     0.00     0.00  std::vector<Useraction, std::allocator<Useraction> >::_M_check_len(unsigned long, char const*) const
  0.00      0.09     0.00     1799     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::_M_check_len(unsigned long, char const*) const
  0.00      0.09     0.00     1799     0.00     0.00  Useraction* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<Useraction>(Useraction const*, Useraction const*, Useraction*)
  0.00      0.09     0.00     1799     0.00     0.00  Node** std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<Node*>(Node* const*, Node* const*, Node**)
  0.00      0.09     0.00     1799     0.00     0.00  std::_Vector_base<Useraction, std::allocator<Useraction> >::_M_allocate(unsigned long)
  0.00      0.09     0.00     1799     0.00     0.00  std::allocator_traits<std::allocator<Useraction> >::deallocate(std::allocator<Useraction>&, Useraction*, unsigned long)
  0.00      0.09     0.00     1799     0.00     0.00  std::allocator_traits<std::allocator<Useraction> >::allocate(std::allocator<Useraction>&, unsigned long)
  0.00      0.09     0.00     1799     0.00     0.00  Useraction* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<Useraction*>, Useraction*>(std::move_iterator<Useraction*>, std::move_iterator<Useraction*>, Useraction*)
  0.00      0.09     0.00     1799     0.00     0.00  Node** std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<Node**>, Node**>(std::move_iterator<Node**>, std::move_iterator<Node**>, Node**)
  0.00      0.09     0.00     1799     0.00     0.00  void std::vector<Useraction, std::allocator<Useraction> >::_M_emplace_back_aux<Useraction const&>(Useraction const&)
  0.00      0.09     0.00     1799     0.00     0.00  void std::vector<Node*, std::allocator<Node*> >::_M_emplace_back_aux<Node* const&>(Node* const&)
  0.00      0.09     0.00     1799     0.00     0.00  Useraction* std::__copy_move_a<true, Useraction*, Useraction*>(Useraction*, Useraction*, Useraction*)
  0.00      0.09     0.00     1799     0.00     0.00  Node** std::__copy_move_a<true, Node**, Node**>(Node**, Node**, Node**)
  0.00      0.09     0.00     1799     0.00     0.00  Useraction* std::__copy_move_a2<true, Useraction*, Useraction*>(Useraction*, Useraction*, Useraction*)
  0.00      0.09     0.00     1799     0.00     0.00  Node** std::__copy_move_a2<true, Node**, Node**>(Node**, Node**, Node**)
  0.00      0.09     0.00     1799     0.00     0.00  Useraction* std::uninitialized_copy<std::move_iterator<Useraction*>, Useraction*>(std::move_iterator<Useraction*>, std::move_iterator<Useraction*>, Useraction*)
  0.00      0.09     0.00     1799     0.00     0.00  Node** std::uninitialized_copy<std::move_iterator<Node**>, Node**>(std::move_iterator<Node**>, std::move_iterator<Node**>, Node**)
  0.00      0.09     0.00     1799     0.00     0.00  Useraction* std::__uninitialized_copy_a<std::move_iterator<Useraction*>, Useraction*, Useraction>(std::move_iterator<Useraction*>, std::move_iterator<Useraction*>, Useraction*, std::allocator<Useraction>&)
  0.00      0.09     0.00     1799     0.00     0.00  Node** std::__uninitialized_copy_a<std::move_iterator<Node**>, Node**, Node*>(std::move_iterator<Node**>, std::move_iterator<Node**>, Node**, std::allocator<Node*>&)
  0.00      0.09     0.00     1799     0.00     0.00  Useraction* std::__uninitialized_move_if_noexcept_a<Useraction*, Useraction*, std::allocator<Useraction> >(Useraction*, Useraction*, Useraction*, std::allocator<Useraction>&)
  0.00      0.09     0.00     1799     0.00     0.00  Node** std::__uninitialized_move_if_noexcept_a<Node**, Node**, std::allocator<Node*> >(Node**, Node**, Node**, std::allocator<Node*>&)
  0.00      0.09     0.00     1799     0.00     0.00  Useraction* std::copy<std::move_iterator<Useraction*>, Useraction*>(std::move_iterator<Useraction*>, std::move_iterator<Useraction*>, Useraction*)
